Step,Compound
0,O=C1CCC=C(C)C1
1,CC([Si](OC1=CC(C)=CCC1)(C(C)C)C(C)C)C
2,CC([Si](O[C@@]12C=C(C)[C@H](CC2)C[C@H]1C(OC)=O)(C(C)C)C(C)C)C
3,O=CC1=C[C@]2(O[Si](C(C)C)(C(C)C)C(C)C)[C@H](C(OC)=O)C[C@H]1CC2
4,C=CC1=C[C@]2(O[Si](C(C)C)(C(C)C)C(C)C)[C@H](C(OC)=O)C[C@H]1CC2
5,C=CC1=C[C@]2(O[Si](C(C)C)(C(C)C)C(C)C)[C@H](C(O)=O)C[C@H]1CC2
6,C=CC1=C[C@]2(O[Si](C(C)C)(C(C)C)C(C)C)[C@H](NC(CC(C=C3)=CC=C3OC)=O)C[C@H]1CC2
7,N[C@@H]1C[C@@H]2C(C=C)=C[C@@]1(O[Si](C(C)C)(C(C)C)C(C)C)CC2
8,C=CC1=C[C@]2(O[Si](C(C)C)(C(C)C)C(C)C)[C@H](NCC#N)C[C@H]1CC2
9,O[C@@]12C=C(C=C)[C@H](CC2)C[C@H]1NCC#N
10,C=C[C@]1(C2)[C@@](CCC(C1)=O)([H])C=CN2C(OC)=O
11,C=C[C@]1(C2)[C@@](CCC(C1)=O)([H])C(Br)=CN2C(OC)=O
12,C=C[C@@]1([C@@H](C2Br)CC3)CN(C2[C@@H]1C3=O)C(OC)=O
13,C=CC12CN(C3C1C(OS(=O)(C(F)(F)F)=O)=C(OC)CC2C3Br)C(OC)=O
14,C=CC12CN(C3C1C(C(OC)=O)=C(OC)CC2C3Br)C(OC)=O
15,C=CC12CN(C3C1C(C(NC4=CC=CC=C4I)=O)=C(OC)CC2C3Br)C(OC)=O
16,C=CC12CN(C3C1C(C(N(C4=CC=CC=C4I)COC)=O)=C(OC)CC2C3Br)C(OC)=O
17,C=CC12CN(C3C1C(C4=O)(C5=C(C=CC=C5)N4COC)C(OC)=CC2C3Br)C(OC)=O
18,C=C[C@@]1([C@@H](C2Br)C3)CN(C2[C@@H]1[C@@](C4=O)(C5=C(C=CC=C5)N4COC)C3=O)C(OC)=O
19,C=C[C@@]12CN(C3[C@@H]1[C@@](C4=O)(C5=C(C=CC=C5)N4COC)[C@@H](O)C[C@@H]2C3Br)C(OC)=O
20,C=C[C@@]12CN(C3[C@@H]1[C@@](C4=O)(C5=C(C=CC=C5)N4COC)[C@@H](OC(OCC)C)C[C@@H]2C3Br)C(OC)=O
21,C=C[C@@]12CN3C4[C@@H]1[C@@](C5=O)(C6=C(C=CC=C6)N5COC)[C@@H](OC(OCC)C)C[C@@H]2C43
22,C=C[C@@]12CN(C3[C@@H]1[C@@](C4=O)(C5=C(C=CC=C5)N4COC)[C@@H](OC(OCC)C)C[C@@H]2C3C#N)C
23,C=C[C@@]12CN(C3[C@@H]1[C@@](C4=O)(C5=C(C=CC=C5)N4COC)[C@@H](O)C[C@@H]2C3C#N)C
24,O=C([C@@]1(C2=C3C=CC=C2)[C@H](O4)C[C@H](C5C4=O)[C@]6(C=C)CN(C5[C@H]16)C)N3COC
25,O=C1NC2=C(C=CC=C2)[C@]31[C@H](O4)C[C@H](C5C4=O)[C@]6(C=C)CN(C5[C@H]36)C
26,O=C1NC2=C(C=CC=C2)[C@]31[C@H]4C[C@H](C5C(O)O4)[C@]6(C=C)CN(C5[C@H]36)C
27,O=C1NC2=C(C=CC=C2)[C@]31[C@H]4C[C@H](C5CO4)[C@]6(C=C)CN(C5[C@H]36)C
